Time1,Angle1,Time (s) Run #2,Angle (°) Run #2,Time (s) Run #3,Angle (°) Run #3,Time (s) Run #4,Angle (°) Run #4,Time5,Angle5,Time (s) Run #6,Angle (°) Run #6,Time (s) Run #7,Angle (°) Run #7,Time (s) Run #8,Angle (°) Run #8
1.36,-0.09,1.36,0,1.36,-2.49E-17,1.36,-2.49E-17,1.36,-0.09,1.36,0,1.36,0,1.36,0
1.37,-0.09,1.37,0,1.37,-2.49E-17,1.37,-2.49E-17,1.37,-0.09,1.37,0,1.37,0,1.37,0
1.38,-0.09,1.38,0,1.38,-2.49E-17,1.38,-2.49E-17,1.38,-0.09,1.38,0,1.38,0,1.38,0
1.39,-0.09,1.39,0,1.39,-2.49E-17,1.39,-2.49E-17,1.39,-0.09,1.39,0,1.39,0,1.39,0
2.45,-0.09,2.45,5.4,2.45,0.09,2.45,0.09,2.45,-0.09,2.45,36.45,2.45,0,2.45,0
2.46,-0.09,2.46,5.49,2.46,0.09,2.46,0.09,2.46,-0.09,2.46,35.37,2.46,0,2.46,0
2.47,-0.09,2.47,5.67,2.47,0.09,2.47,0.09,2.47,-0.09,2.47,34.29,2.47,0,2.47,0
2.48,-0.09,2.48,5.76,2.48,0.09,2.48,0.09,2.48,-0.09,2.48,33.12,2.48,0,2.48,0
2.49,-0.09,2.49,5.85,2.49,0.09,2.49,0.09,2.49,-0.09,2.49,31.86,2.49,0,2.49,0
2.5,-0.09,2.5,5.94,2.5,0.09,2.5,0.09,2.5,-0.09,2.5,30.6,2.5,0,2.5,0
2.51,-0.09,2.51,5.94,2.51,-2.49E-17,2.51,0.09,2.51,-0.09,2.51,29.16,2.51,0,2.51,0
2.52,-0.09,2.52,5.94,2.52,-2.49E-17,2.52,0.09,2.52,-0.09,2.52,27.72,2.52,0,2.52,0
2.53,-0.09,2.53,6.03,2.53,-2.49E-17,2.53,0.09,2.53,-0.09,2.53,26.19,2.53,0,2.53,0
2.54,-0.09,2.54,6.03,2.54,-2.49E-17,2.54,0.09,2.54,-0.09,2.54,24.57,2.54,0,2.54,0
2.55,-0.09,2.55,6.03,2.55,-2.49E-17,2.55,0.09,2.55,-0.09,2.55,22.86,2.55,0,2.55,0
2.56,-0.09,2.56,6.03,2.56,-2.49E-17,2.56,0.09,2.56,-0.09,2.56,21.15,2.56,0,2.56,0
2.57,-0.09,2.57,5.94,2.57,-2.49E-17,2.57,0.09,2.57,-0.09,2.57,19.44,2.57,0,2.57,0
2.58,-0.09,2.58,5.94,2.58,-2.49E-17,2.58,0.09,2.58,-0.09,2.58,17.64,2.58,0,2.58,0
2.59,-0.09,2.59,5.85,2.59,-2.49E-17,2.59,0.09,2.59,-0.09,2.59,15.75,2.59,0,2.59,0
2.6,-0.09,2.6,5.76,2.6,-2.49E-17,2.6,0.09,2.6,-0.09,2.6,13.86,2.6,0,2.6,0
2.61,-0.09,2.61,5.67,2.61,-2.49E-17,2.61,0.09,2.61,0,2.61,11.97,2.61,0,2.61,0
2.62,-0.09,2.62,5.58,2.62,-2.49E-17,2.62,0.09,2.62,-0.09,2.62,9.99,2.62,0,2.62,0
2.63,-0.09,2.63,5.49,2.63,-2.49E-17,2.63,0.09,2.63,-0.18,2.63,8.01,2.63,0,2.63,0
3.72,-0.09,3.72,-0.99,3.72,34.47,3.72,0.09,3.72,4.59,,,3.72,10.62,3.72,7.47
3.73,-0.09,3.73,-0.9,3.73,33.66,3.73,0.09,3.73,5.04,,,3.73,10.62,3.73,9.63
3.74,-0.09,3.74,-0.81,3.74,32.76,3.74,0.09,3.74,5.22,,,3.74,10.62,3.74,11.52
3.75,-0.09,3.75,-0.72,3.75,31.86,3.75,0.09,3.75,5.49,,,3.75,10.62,3.75,13.32
3.76,-0.09,3.76,-0.63,3.76,30.87,3.76,0.09,3.76,5.49,,,3.76,10.44,3.76,15.12
3.77,-0.09,3.77,-0.54,3.77,29.7,3.77,0.09,3.77,5.31,,,3.77,10.26,3.77,17.1
3.78,-0.09,3.78,-0.45,3.78,28.53,3.78,0.09,3.78,5.13,,,3.78,9.9,3.78,19.08
3.79,-0.09,3.79,-0.36,3.79,27.36,3.79,0.09,3.79,4.95,,,3.79,9.72,3.79,20.88
3.8,-0.09,3.8,-0.27,3.8,26.01,3.8,0.09,3.8,4.77,,,3.8,9.54,3.8,22.59
3.81,-0.09,3.81,-0.18,3.81,24.66,3.81,0.09,3.81,4.59,,,3.81,9.27,3.81,24.12
3.82,-0.09,3.82,5.14E-15,3.82,23.22,3.82,0.09,3.82,4.41,,,3.82,9.09,3.82,25.74
3.83,-0.09,3.83,0.09,3.83,21.69,3.83,0.09,3.83,4.23,,,3.83,8.82,3.83,27.27
3.84,-0.09,3.84,0.18,3.84,20.16,3.84,0.09,3.84,3.96,,,3.84,8.55,3.84,28.71
3.85,-0.09,3.85,0.27,3.85,18.63,3.85,0.09,3.85,3.69,,,3.85,8.28,3.85,30.15
3.86,-0.09,3.86,0.36,3.86,16.92,3.86,0.09,3.86,3.15,,,3.86,8.01,3.86,31.41
3.87,-0.09,3.87,0.45,3.87,15.3,3.87,0.09,3.87,2.52,,,3.87,7.65,3.87,32.67
3.88,-0.09,3.88,0.54,3.88,13.59,3.88,0.09,3.88,1.98,,,3.88,7.29,3.88,33.84
4.81,-0.09,,,4.81,1.08,4.81,-2.49E-17,4.81,-0.99,,,4.81,-0.81,4.81,5.67
5.33,-0.09,,,5.33,1.17,5.33,-2.49E-17,,,,,,,5.33,1.08
5.61,-0.09,,,,,5.61,33.57,,,,,,,,
0.13,-0.18,0.13,0,0.13,0,0.13,0.18,0.13,0,0.13,0,0.13,0,0.13,0
0.14,-0.18,0.14,0,0.14,0,0.14,0.18,0.14,0,0.14,0,0.14,0,0.14,0
0.15,-0.18,0.15,0,0.15,0,0.15,0.18,0.15,0,0.15,0,0.15,0,0.15,0
0.16,-0.18,0.16,0,0.16,0,0.16,0.18,0.16,0,0.16,0,0.16,0,0.16,0
1.15,-0.18,1.15,0,1.15,0.18,1.15,-2.49E-17,1.15,-0.09,1.15,0,1.15,0,1.15,0
1.16,-0.18,1.16,0,1.16,0.18,1.16,-2.49E-17,1.16,-0.09,1.16,0,1.16,0,1.16,0
1.17,-0.18,1.17,0,1.17,0.09,1.17,-2.49E-17,1.17,-0.09,1.17,0,1.17,0,1.17,0
1.4,-0.18,1.4,0,1.4,-2.49E-17,1.4,-2.49E-17,1.4,-0.09,1.4,0,1.4,0,1.4,0
1.41,-0.18,1.41,0,1.41,-2.49E-17,1.41,-2.49E-17,1.41,-0.09,1.41,0,1.41,0,1.41,0
1.42,-0.18,1.42,0,1.42,-2.49E-17,1.42,-2.49E-17,1.42,-0.09,1.42,0,1.42,0,1.42,0
2.42,-0.18,2.42,4.95,2.42,0.09,2.42,0.09,2.42,-0.09,2.42,38.97,2.42,0,2.42,0
2.43,-0.18,2.43,5.13,2.43,0.09,2.43,0.09,2.43,-0.09,2.43,38.25,2.43,0,2.43,0
2.44,-0.18,2.44,5.31,2.44,0.09,2.44,0.09,2.44,-0.09,2.44,37.35,2.44,0,2.44,0
2.64,-0.18,2.64,5.31,2.64,-2.49E-17,2.64,0.09,2.64,2.52,2.64,6.03,2.64,0,2.64,0
2.65,-0.18,2.65,5.13,2.65,-2.49E-17,2.65,0.09,2.65,4.41,2.65,3.96,2.65,0,2.65,0
2.66,-0.18,2.66,5.04,2.66,-2.49E-17,2.66,0.09,2.66,6.48,2.66,1.98,2.66,0,2.66,0
3.68,-0.18,3.68,-1.08,3.68,36.72,3.68,0.09,3.68,5.58,,,3.68,10.35,3.68,0
3.69,-0.18,3.69,-1.17,3.69,36.27,3.69,0.09,3.69,5.49,,,3.69,10.44,3.69,2.7
3.7,-0.18,3.7,-1.17,3.7,35.82,3.7,0.09,3.7,5.31,,,3.7,10.53,3.7,3.96
3.71,-0.18,3.71,-1.08,3.71,35.19,3.71,0.09,3.71,5.04,,,3.71,10.62,3.71,5.31
3.89,-0.18,3.89,0.63,3.89,11.79,3.89,0.09,3.89,1.26,,,3.89,7.02,3.89,35.01
3.9,-0.18,3.9,0.72,3.9,10.08,3.9,0.09,3.9,1.35,,,3.9,6.75,3.9,36
3.91,-0.18,3.91,0.81,3.91,8.28,3.91,0.09,3.91,1.08,,,3.91,6.48,3.91,36.9
3.92,-0.18,3.92,0.9,3.92,6.48,3.92,0.09,3.92,0.9,,,3.92,6.12,3.92,37.71
0.17,-0.27,0.17,0,0.17,0,0.17,0.18,0.17,0,0.17,0,0.17,0,0.17,0
0.18,-0.27,0.18,0,0.18,-0.09,0.18,0.27,0.18,-0.09,0.18,0.09,0.18,0,0.18,0
1.12,-0.27,1.12,0,1.12,0.18,1.12,-2.49E-17,1.12,-0.09,1.12,0,1.12,0,1.12,-0.09
1.13,-0.27,1.13,0,1.13,0.18,1.13,-2.49E-17,1.13,-0.09,1.13,0,1.13,0,1.13,0
1.14,-0.27,1.14,0,1.14,0.18,1.14,-2.49E-17,1.14,-0.09,1.14,0,1.14,0,1.14,0
1.43,-0.27,1.43,0,1.43,-2.49E-17,1.43,-2.49E-17,1.43,-0.09,1.43,0.09,1.43,0,1.43,0
