Wavelength,Intensity
 473.914,    151.21 
 474.269,     90.62 
 474.625,    117.55 
 474.980,     59.19 
 475.336,    113.06 
 475.691,    144.48 
 476.046,     59.19 
 476.402,    119.79 
 476.757,     61.44 
 477.112,     86.13 
 477.467,    148.97 
 477.823,     79.39 
 478.178,     88.37 
 478.533,     88.37 
 478.888,    178.15 
 479.243,    131.01 
 479.598,    169.17 
 479.952,    124.28 
 480.307,     79.39 
 480.662,    144.48 
 481.017,    126.53 
 481.372,    135.50 
 481.726,     88.37 
 482.081,    173.66 
 482.435,    122.04 
 482.790,    108.57 
 483.144,     70.42 
 483.499,    137.75 
 483.853,    173.66 
 484.208,     43.48 
 484.562,    182.63 
 484.916,    164.68 
 485.270,    146.72 
 485.625,    196.10 
 485.979,    142.24 
 486.333,    407.07 
 486.687,   1313.79 
 487.041,   4478.32 
 487.395,   9503.42 
 487.749,   4725.20 
 488.103,   1372.14 
 488.457,    420.53 
 488.810,    254.45 
 489.164,    166.92 
 489.518,    187.12 
 489.872,     92.86 
 490.225,     39.00 
 490.579,    151.21 
 490.932,    108.57 
 491.286,    139.99 
 491.639,     99.59 
 491.993,    119.79 
 492.346,     74.91 
 492.700,     70.42 
 493.053,     77.15 
 493.406,    135.50 
 493.759,    214.05 
 494.112,    187.12 
 494.466,    234.25 
 494.819,    279.14 
 495.172,    135.50 
 495.525,     90.62 
 495.878,     68.17 
 496.231,    106.33 
 496.583,    160.19 
 496.936,    171.41 
 497.289,    135.50 
 497.642,    135.50 
 497.994,    108.57 
 498.347,    214.05 
 498.700,    196.10 
 499.052,    193.86 
 499.405,     92.86 
 499.757,    101.84 
 500.110,     45.73 
 500.462,     65.93 
 500.814,    106.33 
 501.167,    151.21 
 501.519,    157.95 
 501.871,    126.53 
 502.223,    164.68 
 502.575,    162.43 
 502.928,    108.57 
 503.280,    119.79 
 503.632,     90.62 
 503.984,     79.39 
 504.335,    110.81 
 504.687,    151.21 
 505.039,     65.93 
 505.391,     79.39 
 505.743,     74.91 
 506.094,     65.93 
 506.446,    166.92 
 506.798,     72.66 
 507.149,    187.12 
 507.501,    124.28 
 507.852,     79.39 
 508.204,    189.37 
 508.555,    115.30 
 508.906,    115.30 
 509.258,     92.86 
 509.609,     63.68 
 509.960,     95.10 
 510.311,     99.59 
 510.663,    106.33 
 511.014,    119.79 
 511.365,    178.15 
 511.716,     81.64 
 512.067,     79.39 
 512.418,     70.42 
 512.768,     79.39 
 513.119,    124.28 
 513.470,    128.77 
 513.821,     59.19 
 514.171,     86.13 
 514.522,     59.19 
 514.873,    108.57 
 515.223,     95.10 
 515.574,     43.48 
 515.924,     86.13 
 516.275,     56.95 
 516.625,     88.37 
 516.975,    115.30 
 517.326,    131.01 
 517.676,    115.30 
 518.026,     90.62 
 518.376,    124.28 
 518.727,    115.30 
 519.077,     72.66 
 519.427,    117.55 
 519.777,     68.17 
 520.127,    164.68 
 520.477,     79.39 
 520.826,     90.62 
 521.176,    101.84 
 521.526,     47.97 
 521.876,     92.86 
 522.225,      3.09 
 522.575,     65.93 
 522.925,    131.01 
 523.274,     52.46 
 523.624,    104.08 
 523.973,    110.81 
 524.323,     88.37 
 524.672,    139.99 
 525.021,     79.39 
 525.371,     43.48 
 525.720,     47.97 
 526.069,     81.64 
 526.418,     70.42 
 526.767,     72.66 
 527.117,    119.79 
 527.466,     65.93 
 527.815,    160.19 
 528.164,     99.59 
 528.512,    124.28 
 528.861,     92.86 
