Wavelength,Intensity
 413.950,    110.11 
 414.313,    186.42 
 414.675,    146.02 
 415.037,    208.86 
 415.400,    103.38 
 415.762,    181.93 
 416.124,    190.91 
 416.487,     74.20 
 416.849,    130.31 
 417.211,    130.31 
 417.573,    193.15 
 417.935,    170.71 
 418.297,    134.80 
 418.659,    170.71 
 419.021,    119.09 
 419.383,    114.60 
 419.745,    121.34 
 420.107,    107.87 
 420.469,     69.72 
 420.830,     89.91 
 421.192,    155.00 
 421.554,    132.56 
 421.915,    105.62 
 422.277,     98.89 
 422.638,    179.69 
 423.000,    116.85 
 423.361,    112.36 
 423.723,    229.06 
 424.084,    161.73 
 424.446,    175.20 
 424.807,    163.98 
 425.168,    141.53 
 425.529,    172.96 
 425.891,    112.36 
 426.252,    157.24 
 426.613,    177.44 
 426.974,    125.82 
 427.335,    170.71 
 427.696,    112.36 
 428.057,    157.24 
 428.418,    132.56 
 428.778,    186.42 
 429.139,    186.42 
 429.500,     94.40 
 429.861,     83.18 
 430.221,    170.71 
 430.582,    166.22 
 430.943,    155.00 
 431.303,    159.49 
 431.664,     74.20 
 432.024,    224.58 
 432.385,    114.60 
 432.745,    130.31 
 433.105,    107.87 
 433.466,    101.14 
 433.826,    208.86 
 434.186,    453.50 
 434.546,   1198.62 
 434.907,   3326.27 
 435.267,   6073.35 
 435.627,   3270.16 
 435.987,    987.65 
 436.347,    318.84 
 436.707,    224.58 
 437.067,    141.53 
 437.427,     49.52 
 437.786,    226.82 
 438.146,    238.04 
 438.506,    177.44 
 438.866,     96.65 
 439.225,    110.11 
 439.585,    128.07 
 439.944,    123.58 
 440.304,    114.60 
 440.663,    101.14 
 441.023,     76.45 
 441.382,    112.36 
 441.742,    163.98 
 442.101,     71.96 
 442.460,     71.96 
 442.820,    152.76 
 443.179,    193.15 
 443.538,     67.47 
 443.897,    123.58 
 444.256,    125.82 
 444.615,    110.11 
 444.974,     69.72 
 445.333,    121.34 
 445.692,    119.09 
 446.051,    121.34 
 446.410,    166.22 
 446.768,    143.78 
 447.127,    125.82 
 447.486,    105.62 
 447.845,    202.13 
 448.203,    152.76 
 448.562,    119.09 
 448.920,    143.78 
 449.279,     76.45 
 449.637,    121.34 
 449.996,    150.51 
 450.354,    177.44 
 450.712,    128.07 
 451.071,     67.47 
 451.429,    105.62 
 451.787,    105.62 
 452.145,    170.71 
 452.503,     45.03 
 452.861,    157.24 
 453.219,    105.62 
 453.577,    103.38 
 453.935,     96.65 
 454.293,     62.98 
 454.651,    119.09 
 455.009,     56.25 
 455.367,     87.67 
 455.725,    190.91 
 456.082,     89.91 
 456.440,     47.27 
 456.798,     94.40 
 457.155,    146.02 
 457.513,    114.60 
 457.870,     54.00 
 458.228,    103.38 
 458.585,    101.14 
 458.942,    116.85 
 459.300,    103.38 
 459.657,    101.14 
 460.014,     67.47 
 460.371,    143.78 
 460.729,    155.00 
 461.086,     76.45 
 461.443,     22.58 
 461.800,     51.76 
 462.157,    141.53 
 462.514,     92.16 
 462.871,    134.80 
 463.227,     92.16 
 463.584,     42.78 
 463.941,    105.62 
 464.298,    130.31 
 464.655,    112.36 
 465.011,     22.58 
 465.368,    137.05 
 465.724,    141.53 
 466.081,    121.34 
 466.437,    179.69 
 466.794,    148.27 
 467.150,    121.34 
 467.507,     89.91 
 467.863,    116.85 
 468.219,    159.49 
 468.575,     98.89 
 468.932,    121.34 
 469.288,     62.98 
 469.644,    134.80 
 470.000,    134.80 
 470.356,     87.67 
 470.712,     15.85 
 471.068,     29.32 
 471.424,     85.43 
 471.780,     13.61 
 472.135,    110.11 
 472.491,    130.31 
 472.847,     74.20 
 473.203,    105.62 
 473.558,     94.40 
 473.914,    170.71 
 474.269,     33.81 
 474.625,     58.49 
 474.980,     45.03 
 475.336,    146.02 
 475.691,     94.40 
 476.046,     83.18 
 476.402,     78.69 
 476.757,     36.05 
 477.112,     56.25 
 477.467,    139.29 
 477.823,     98.89 
 478.178,     87.67 
 478.533,    139.29 
 478.888,     85.43 
 479.243,    168.47 
 479.598,    152.76 
 479.952,    125.82 
 480.307,    125.82 
 480.662,    197.64 
 481.017,    186.42 
 481.372,    150.51 
 481.726,    177.44 
 482.081,    161.73 
 482.435,    215.60 
 482.790,    179.69 
