Wavelength,Intensity
 492.700,     25.11 
 493.053,     27.35 
 493.406,    -10.80 
 493.759,    -33.24 
 494.112,    -22.02 
 494.466,     29.60 
 494.819,      4.91 
 495.172,     70.00 
 495.525,    -17.53 
 495.878,    -17.53 
 496.231,      4.91 
 496.583,    -51.20 
 496.936,      7.15 
 497.289,     54.29 
 497.642,     54.29 
 497.994,    -22.02 
 498.347,      4.91 
 498.700,    -28.76 
 499.052,     72.24 
 499.405,     22.86 
 499.757,     70.00 
 500.110,     -4.07 
 500.462,    -28.76 
 500.814,    -26.51 
 501.167,      9.40 
 501.519,    -24.27 
 501.871,    -10.80 
 502.223,    -48.95 
 502.575,     20.62 
 502.928,     11.64 
 503.280,     45.31 
 503.632,    -10.80 
 503.984,     27.35 
 504.335,      7.15 
 504.687,     67.75 
 505.039,    103.66 
 505.391,     76.73 
 505.743,    -46.71 
 506.094,     31.84 
 506.446,    -48.95 
 506.798,    -31.00 
 507.149,    -37.73 
 507.501,     -6.31 
 507.852,     31.84 
 508.204,     18.38 
 508.555,     40.82 
 508.906,      9.40 
 509.258,     54.29 
 509.609,     76.73 
 509.960,    -19.78 
 510.311,     40.82 
 510.663,     -6.31 
 511.014,     56.53 
 511.365,    -10.80 
 511.716,     31.84 
 512.067,    -15.29 
 512.418,     47.55 
 512.768,    227.10 
 513.119,    126.10 
 513.470,      9.40 
 513.821,    -13.05 
 514.171,    -19.78 
 514.522,    -62.42 
 514.873,     -4.07 
 515.223,     61.02 
 515.574,     -1.82 
 515.924,     81.22 
 516.275,     18.38 
 516.625,      0.42 
 516.975,     22.86 
 517.326,     -4.07 
 517.676,    -80.38 
 518.026,    -24.27 
 518.376,     29.60 
 518.727,    -53.44 
 519.077,     18.38 
 519.427,     63.26 
 519.777,     49.80 
 520.127,     63.26 
 520.477,     81.22 
 520.826,     52.04 
 521.176,     27.35 
 521.526,    110.39 
 521.876,     29.60 
 522.225,     72.24 
 522.575,     49.80 
 522.925,    -24.27 
 523.274,     -6.31 
 523.624,     18.38 
 523.973,     38.57 
 524.323,     22.86 
 524.672,     16.13 
 525.021,     13.89 
 525.371,     -8.56 
 525.720,     18.38 
 526.069,    -57.93 
 526.418,      0.42 
 526.767,      7.15 
 527.117,    -35.49 
 527.466,      2.67 
 527.815,    -19.78 
 528.164,     25.11 
 528.512,     11.64 
 528.861,     74.48 
 529.210,     65.51 
 529.559,     78.97 
 529.908,     -4.07 
 530.256,    114.88 
 530.605,    -31.00 
 530.954,    -51.20 
 531.302,     92.44 
 531.651,     49.80 
 531.999,    -39.98 
 532.347,     13.89 
 532.696,     20.62 
 533.044,     36.33 
 533.392,      4.91 
 533.741,    135.08 
 534.089,    316.87 
 534.437,    393.18 
 534.785,    263.01 
 535.133,    364.01 
 535.481,    473.98 
 535.829,    202.41 
 536.177,      0.42 
 536.525,     36.33 
 536.873,      0.42 
 537.221,    -15.29 
 537.568,      4.91 
 537.916,    -48.95 
 538.264,     13.89 
 538.611,     38.57 
 538.959,    -26.51 
 539.307,    -46.71 
 539.654,    -35.49 
 540.001,     -8.56 
 540.349,    -26.51 
 540.696,    177.72 
 541.044,    294.43 
 541.391,    628.84 
 541.738,    240.57 
 542.085,     61.02 
 542.432,     83.46 
 542.779,     70.00 
 543.126,    108.15 
 543.473,     45.31 
 543.820,    -26.51 
 544.167,     54.29 
 544.514,    -10.80 
 544.861,     40.82 
 545.208,     18.38 
 545.555,    -46.71 
 545.901,    -35.49 
 546.248,     67.75 
 546.595,    -17.53 
 546.941,    -31.00 
 547.288,     27.35 
 547.634,    -78.13 
 547.980,    -39.98 
 548.327,    -31.00 
 548.673,     25.11 
 549.019,    -51.20 
 549.366,    -24.27 
 549.712,      4.91 
 550.058,     43.06 
 550.404,     -6.31 
 550.750,     -8.56 
 551.096,    -17.53 
 551.442,     31.84 
 551.788,      9.40 
 552.134,     -6.31 
 552.480,    -84.86 
 552.826,     36.33 
 553.171,    -62.42 
 553.517,      0.42 
 553.863,    -31.00 
 554.208,     45.31 
 554.554,     38.57 
 554.900,     63.26 
 555.245,      0.42 
 555.590,     27.35 
 555.936,    -33.24 
 556.281,    -19.78 
 556.626,     -1.82 
 556.972,     52.04 
 557.317,     54.29 
 557.662,     81.22 
 558.007,    -42.22 
 558.352,     18.38 
 558.697,     11.64 
 559.042,    -33.24 
 559.387,    -15.29 
 559.732,      9.40 
 560.077,    -26.51 
 560.422,     25.11 
 560.767,     54.29 
 561.111,     45.31 
 561.456,     -4.07 
 561.801,     18.38 
 562.145,    -28.76 
 562.490,    -35.49 
 562.834,    -55.69 
 563.179,    -44.47 
 563.523,     18.38 
 563.867,     43.06 
 564.212,     70.00 
 564.556,     11.64 
 564.900,     22.86 
 565.244,     20.62 
 565.589,     27.35 
 565.933,     36.33 
 566.277,     90.19 
 566.621,     43.06 
 566.965,    126.10 
 567.309,     58.77 
 567.652,    -26.51 
 567.996,      0.42 
 568.340,     18.38 
 568.684,      0.42 
 569.027,    -28.76 
 569.371,     52.04 
 569.715,    -22.02 
 570.058,     94.68 
 570.402,     29.60 
 570.745,     58.77 
 571.089,     74.48 
 571.432,     16.13 
 571.775,    -35.49 
 572.119,     -1.82 
 572.462,      7.15 
 572.805,     18.38 
 573.148,     83.46 
 573.491,     99.17 
 573.834,     27.35 
 574.177,     54.29 
 574.520,     52.04 
 574.863,     43.06 
 575.206,      7.15 
 575.549,    184.46 
 575.892,    292.19 
 576.234,    229.34 
 576.577,     94.68 
